City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sumbe,-11.21,13.84,76.28,83,100,8.86,AO,1603481567
Vaini,-21.2,-175.2,73.4,83,75,9.17,TO,1603481530
Lebu,-37.62,-73.65,55.58,73,100,6.62,CL,1603481567
Kapaa,22.08,-159.32,79.0,88,75,8.75,US,1603481568
Khatanga,71.97,102.5,7.56,95,100,6.55,RU,1603481025
Lagoa,39.05,-27.98,65.86,76,0,20.02,PT,1603481156
Salinópolis,-0.61,-47.36,82.49,71,44,12.17,BR,1603481535
Gejiu,23.31,103.16,48.56,78,79,1.52,CN,1603481569
Atuona,-9.8,-139.03,77.81,76,30,20.29,PF,1603481072
Mahébourg,-20.41,57.7,75.2,69,75,11.41,MU,1603481072
Castro,-24.79,-50.01,72.27,74,100,6.11,BR,1603480972
Talnakh,69.49,88.4,-2.2,84,40,8.95,RU,1603481570
Clyde River,70.47,-68.59,23.0,73,90,3.36,CA,1603481570
Hermanus,-34.42,19.23,68.0,85,64,7.92,ZA,1603481530
Ilulissat,69.22,-51.1,21.2,67,75,4.7,GL,1603481053
Kununurra,-15.77,128.73,82.4,83,89,6.93,AU,1603481452
New Norfolk,-42.78,147.06,52.0,70,100,1.01,AU,1603481571
Punta Arenas,-53.15,-70.92,46.4,70,75,6.93,CL,1603481571
Iqaluit,63.75,-68.51,30.2,80,90,2.24,CA,1603481066
Torbay,47.67,-52.73,44.6,75,75,9.17,CA,1603481069
Cairns,-16.92,145.77,75.2,83,90,4.7,AU,1603481516
Yellowknife,62.46,-114.35,26.01,73,20,8.05,CA,1603481064
Hithadhoo,-0.6,73.08,82.78,78,57,12.97,MV,1603481573
Moberly,39.42,-92.44,42.01,85,100,4.0,US,1603481517
North Bend,43.41,-124.22,66.99,54,1,3.36,US,1603481573
Fairbanks,64.84,-147.72,21.0,84,1,4.38,US,1603481354
Walvis Bay,-22.96,14.51,61.0,77,100,8.05,NA,1603481574
Uglovoye,44.82,33.6,61.5,86,1,13.24,UA,1603481574
Saint George,37.1,-113.58,62.6,18,1,4.7,US,1603481435
Kawalu,-7.38,108.21,72.28,91,97,1.34,ID,1603481574
East London,-33.02,27.91,69.8,88,99,5.82,ZA,1603481574
Jalu,29.03,21.55,68.18,62,32,12.62,LY,1603481575
Sayansk,54.11,102.16,37.89,90,100,5.3,RU,1603481575
Ribeira Grande,38.52,-28.7,68.0,72,75,14.99,PT,1603481575
Casa Grande,32.88,-111.76,90.0,27,1,5.82,US,1603481533
Rancho Grande,-23.51,-46.36,78.8,57,0,11.41,BR,1603481575
Yulara,-25.24,130.99,60.8,72,0,10.29,AU,1603481066
Kruisfontein,-34.0,24.73,66.0,86,23,3.0,ZA,1603481576
Praia,14.92,-23.51,80.6,74,40,20.8,CV,1603481576
Mar del Plata,-38.0,-57.56,64.0,82,40,9.17,AR,1603481570
Lavrentiya,65.58,-171.0,33.31,90,100,6.8,RU,1603481576
Loandjili,-4.76,11.86,77.5,84,71,13.11,CG,1603481575
Mayskiy,47.69,40.1,55.4,93,0,6.71,RU,1603481577
Mackay,-21.15,149.2,75.2,83,97,6.93,AU,1603481577
Coruripe,-10.13,-36.18,79.54,72,0,10.63,BR,1603481577
Bluff,-46.6,168.33,60.01,66,93,7.0,NZ,1603481578
Ushuaia,-54.8,-68.3,48.2,57,40,11.41,AR,1603480861
Ajdabiya,30.76,20.23,70.11,69,0,11.63,LY,1603481578
Pisco,-13.7,-76.22,71.6,60,0,16.11,PE,1603481469
Gijang,35.24,129.21,46.4,51,0,8.05,KR,1603481578
Alyangula,-13.85,136.42,80.6,83,95,6.93,AU,1603481578
Goya,-29.14,-59.26,83.73,72,99,8.19,AR,1603481579
Coahuayana Viejo,18.73,-103.68,84.2,74,75,5.88,MX,1603481579
Lüderitz,-26.65,15.16,60.89,79,0,4.41,NA,1603481071
Barrow,71.29,-156.79,32.0,98,90,8.05,US,1603481196
Kahului,20.89,-156.47,87.8,48,20,0.92,US,1603481579
Greymouth,-42.47,171.2,50.63,78,32,5.88,NZ,1603481579
Virginia Beach,36.85,-75.98,75.0,69,75,9.17,US,1603481372
Bilibino,68.05,166.44,16.59,90,99,0.74,RU,1603481580
Hobart,-42.88,147.33,52.0,93,90,3.4,AU,1603480986
Vila Franca do Campo,37.72,-25.43,66.2,72,40,13.87,PT,1603481580
Ngunguru,-35.62,174.5,61.0,97,12,6.69,NZ,1603481580
Aljezur,37.32,-8.8,58.95,81,0,6.93,PT,1603481580
Massakory,13.0,15.73,89.02,12,100,11.07,TD,1603481581
Kumul,42.8,93.45,45.36,47,0,1.41,CN,1603481069
Aksay,47.26,39.87,55.4,93,0,6.71,RU,1603481581
At-Bashi,41.17,75.81,30.24,87,57,0.38,KG,1603481581
Kudahuvadhoo,2.67,72.89,81.82,79,0,12.71,MV,1603481581
Mataura,-46.19,168.86,60.01,66,44,7.0,NZ,1603481530
Husavik,66.04,-17.34,42.8,70,75,5.82,IS,1603481161
Sinnamary,5.38,-52.95,84.42,69,1,10.54,GF,1603481464
Chui,-33.7,-53.46,68.76,85,90,6.04,UY,1603481408
Sibut,5.72,19.07,73.76,88,100,2.06,CF,1603481582
